"character","category"
"Você mesmo","Auto-referente"
"Adriana Esteves","Celebridades Brasileiras"
"Alexandre Nero","Celebridades Brasileiras"
"Ana Carolina","Celebridades Brasileiras"
"Ana Paula Padrão","Celebridades Brasileiras"
"Angélica","Celebridades Brasileiras"
"Anitta","Celebridades Brasileiras"
"Antônio Fagundes","Celebridades Brasileiras"
"Ary Fontoura","Celebridades Brasileiras"
"Babu Santana","Celebridades Brasileiras"
"Bruno Gagliasso","Celebridades Brasileiras"
"Bussunda","Celebridades Brasileiras"
"Caetano Veloso","Celebridades Brasileiras"
"Camila Pitanga","Celebridades Brasileiras"
"Carlinhos de Jesus","Celebridades Brasileiras"
"Carlos Alberto de Nóbrega","Celebridades Brasileiras"
"Cauã Reymond","Celebridades Brasileiras"
"Chay Suede","Celebridades Brasileiras"
"Chico Anysio","Celebridades Brasileiras"
"Cláudia Raia","Celebridades Brasileiras"
"Daniela Mercury","Celebridades Brasileiras"
"Danilo Gentili","Celebridades Brasileiras"
"Deborah Secco","Celebridades Brasileiras"
"Diogo Defante","Celebridades Brasileiras"
"Drauzio Varella","Celebridades Brasileiras"
"Eliana","Celebridades Brasileiras"
"Érick Jacquin","Celebridades Brasileiras"
"Evaristo Costa","Celebridades Brasileiras"
"Fábio Porchat","Celebridades Brasileiras"
"Fátima Bernardes","Celebridades Brasileiras"
"Faustão","Celebridades Brasileiras"
"Fernanda Montenegro","Celebridades Brasileiras"
"Ferrugem","Celebridades Brasileiras"
"Fiuk","Celebridades Brasileiras"
"Giovanna Antonelli","Celebridades Brasileiras"
"Gloria Groove","Celebridades Brasileiras"
"Grazi Massafera","Celebridades Brasileiras"
"Gugu","Celebridades Brasileiras"
"Gusttavo Lima","Celebridades Brasileiras"
"Helio de La Pena","Celebridades Brasileiras"
"Igão (Podpah)","Celebridades Brasileiras"
"Ivete Sangalo","Celebridades Brasileiras"
"Iza","Celebridades Brasileiras"
"João Gomes","Celebridades Brasileiras"
"José de Abreu","Celebridades Brasileiras"
"Juliana Paes","Celebridades Brasileiras"
"Karol Conká","Celebridades Brasileiras"
"Lenine","Celebridades Brasileiras"
"Lília Cabral","Celebridades Brasileiras"
"Linn da Quebrada","Celebridades Brasileiras"
"Luan Santana","Celebridades Brasileiras"
"Luciano Hang/Véio da Havan","Celebridades Brasileiras"
"Luciano Huck","Celebridades Brasileiras"
"Ludmilla","Celebridades Brasileiras"
"Marcelo Tas","Celebridades Brasileiras"
"Marcos Mion","Celebridades Brasileiras"
"Marcos Palmeira","Celebridades Brasileiras"
"Marcos Pasquim","Celebridades Brasileiras"
"Maria Gadú","Celebridades Brasileiras"
"Maria Júlia Coutinho","Celebridades Brasileiras"
"Marília Mendonça","Celebridades Brasileiras"
"Marjorie Estiano","Celebridades Brasileiras"
"Martinho da Vila","Celebridades Brasileiras"
"Mateus Solano","Celebridades Brasileiras"
"MC Guimê","Celebridades Brasileiras"
"Michel Teló","Celebridades Brasileiras"
"Milton Gonçalves","Celebridades Brasileiras"
"Murilo Benício","Celebridades Brasileiras"
"Naldo Benny","Celebridades Brasileiras"
"Pabllo Vittar","Celebridades Brasileiras"
"Paola Carrosela","Celebridades Brasileiras"
"Paolla Oliveira","Celebridades Brasileiras"
"Patrícia Poeta","Celebridades Brasileiras"
"Paula Fernandes","Celebridades Brasileiras"
"Paulo Coelho","Celebridades Brasileiras"
"Regina Casé","Celebridades Brasileiras"
"Renata Lo Prete","Celebridades Brasileiras"
"Rita Lee","Celebridades Brasileiras"
"Sérgio Guizé","Celebridades Brasileiras"
"Sílvio (Pânico)","Celebridades Brasileiras"
"Sílvio Santos","Celebridades Brasileiras"
"Susana Vieira","Celebridades Brasileiras"
"Tadeu Schmidt","Celebridades Brasileiras"
"Taís Araújo","Celebridades Brasileiras"
"Tatá Werneck","Celebridades Brasileiras"
"Thiago Nigro (O Primo Rico)","Celebridades Brasileiras"
"Tiago Iorc","Celebridades Brasileiras"
"Tiago Leifert","Celebridades Brasileiras"
"Tony Ramos","Celebridades Brasileiras"
"Vanessa da Mata","Celebridades Brasileiras"
"Vera Fischer","Celebridades Brasileiras"
"Vesgo (Pânico)","Celebridades Brasileiras"
"Vitor Kley","Celebridades Brasileiras"
"William Bonner","Celebridades Brasileiras"
"Xuxa","Celebridades Brasileiras"
"Ada Lovelace","Ciência"
"Alan Turing","Ciência"
"Albert Einstein","Ciência"
"Alberto SantosDumont","Ciência"
"Alexander Graham Bell","Ciência"
"Antoine Lavoisier","Ciência"
"Avicenna / Ibn Sina","Ciência"
"B. F. Skinner","Ciência"
"Benjamin Franklin","Ciência"
"Boyan Slat","Ciência"
"Carl Sagan","Ciência"
"Charles Darwin","Ciência"
"Charles Darwin","Ciência"
"Claude Shannon","Ciência"
"David Hilbert","Ciência"
"Dmitri Mendeleev","Ciência"
"Ernest Rutherford","Ciência"
"Erwin Schrödinger","Ciência"
"Euclid","Ciência"
"Florence Nightingale","Ciência"
"Galileo Galilei","Ciência"
"Georg Cantor","Ciência"
"Hans Asperger","Ciência"
"Isaac Newton","Ciência"
"Isaac Newton","Ciência"
"Jane Goodall","Ciência"
"Johann Gregor Mendel","Ciência"
"John Maynard Keynes","Ciência"
"John Nash","Ciência"
"Karl Marx","Ciência"
"Kurt Gödel","Ciência"
"Louis Pasteur","Ciência"
"Marie Skłodowska-Curie","Ciência"
"Michael Faraday","Ciência"
"Nicolaus Copernicus","Ciência"
"Niels Bohr","Ciência"
"Nikola Tesla","Ciência"
"Noam Chomsky","Ciência"
"Pierre Curie","Ciência"
"Richard Dawkins","Ciência"
"Richard Feynman","Ciência"
"Richard Feynman","Ciência"
"Robert Hooke","Ciência"
"Robert Oppenheimer","Ciência"
"Rosalind Franklin","Ciência"
"Santos Dumont","Ciência"
"Sigmund Freud","Ciência"
"Sigmund Freud","Ciência"
"Srinivasa Ramanujan","Ciência"
"Stephen Hawking","Ciência"
"Stephen Hawking","Ciência"
"Thomas Edison","Ciência"
"(Ursinhos Carinhosos)","Desenhos"
"#1 (KND – A Turma do Bairro)","Desenhos"
"Aang (Avatar: The Last Airbender)","Desenhos"
"Adora “She-Ra” (She-Ra and the Princesses of Power)","Desenhos"
"Agumon (Digimon)","Desenhos"
"Alladin (Aladdin)","Desenhos"
"Arthur (Arthur)","Desenhos"
"Asami Sato (The Legend of Korra)","Desenhos"
"Ash Ketchum (Pokémon)","Desenhos"
"Bart Simpson (The Simpsons)","Desenhos"
"Beavis (Beavis e Butt-Head)","Desenhos"
"Ben Tennyson (Ben 10)","Desenhos"
"Blossom (The Powerpuff Girls)","Desenhos"
"Blu (A Mansão Foster para Amigos Imaginários)","Desenhos"
"Bob Esponja","Desenhos"
"Bobby (O Fantástico Mundo de Bobby)","Desenhos"
"BoJack F. Horseman (BoJack Horseman)","Desenhos"
"Brian Griffin (Family Guy)","Desenhos"
"Bubbles (The Powerpuff Girls)","Desenhos"
"Bugs Bunny (Looney Tunes)","Desenhos"
"Capitão Planeta (Capitão Planeta)","Desenhos"
"CatDog (CatDog)","Desenhos"
"Cebolinha (Turma da Mônica)","Desenhos"
"Cérebro (Pinky e o Cérebro)","Desenhos"
"Charizard","Desenhos"
"Charlie Brown (Peanuts)","Desenhos"
"Clover (As Três Espiãs Demais!)","Desenhos"
"Courage (Courage the Cowardly Dog)","Desenhos"
"Danny Phantom (Danny Phantom)","Desenhos"
"Dexter (Dexter's Laboratory)","Desenhos"
"Diane Nguyen (BoJack Horseman)","Desenhos"
"Dick Vigarista","Desenhos"
"Doug (Doug)","Desenhos"
"Edu (Du, Dudu e Edu)","Desenhos"
"Entrapta (She-Ra and the Princesses of Power)","Desenhos"
"Eric Cartman (South Park)","Desenhos"
"Finn (Adventure Time)","Desenhos"
"Flora (Winx Club)","Desenhos"
"Fred Flinstone","Desenhos"
"Fred Jones (Scooby-Doo)","Desenhos"
"Frekazoid (Frekazoid!)","Desenhos"
"Garfield the Cat (Garfield)","Desenhos"
"Gasparzinho","Desenhos"
"George (George, O Curioso)","Desenhos"
"Goku (Dragon Ball Z)","Desenhos"
"Grunkle Stan (Gravity Falls)","Desenhos"
"Gumball Watterson (The Amazing World of Gumball)","Desenhos"
"Hilda (Hilda)","Desenhos"
"Homer Simpson (The Simpsons)","Desenhos"
"Howl Jenkins Pendragon (Howl's Moving Castle)","Desenhos"
"Ikki de Fênix (Os Cavaleiros do Zodíaco)","Desenhos"
"Iroh (Avatar: The Last Airbender)","Desenhos"
"Jackie Chan (As Aventuras de Jackie Chan)","Desenhos"
"Jake the Dog (Adventure Time)","Desenhos"
"Jasmine (Aladdin)","Desenhos"
"Jerry (Tom and Jerry)","Desenhos"
"Jimmy Neutron (The Adventures of Jimmy Neutron)","Desenhos"
"Johnny Bravo (Johnny Bravo)","Desenhos"
"Katara (Avatar: The Last Airbender)","Desenhos"
"Kim Possible (Kim Possible)","Desenhos"
"Korra (The Legend of Korra)","Desenhos"
"L (Death Note)","Desenhos"
"Leonardo (Teenage Mutant Ninja Turtles)","Desenhos"
"Light Yagami (Death Note)","Desenhos"
"Luz Noceda (The Owl House)","Desenhos"
"Mabel Pines (Gravity Falls)","Desenhos"
"Marceline the Vampire Queen (Adventure Time)","Desenhos"
"Marinette “Ladybug” (Miraculous: Tales of Ladybug & Cat Noir)","Desenhos"
"Máskara (O Máskara)","Desenhos"
"Mewtwo","Desenhos"
"Mickey (Disney)","Desenhos"
"Mônica (Turma da Mônica)","Desenhos"
"Monkey D. Luffy ""Straw Hat"" (One Piece)","Desenhos"
"Morty Smith (Rick and Morty)","Desenhos"
"Naruto Uzumaki (Naruto)","Desenhos"
"Os Animaniacs (Animaniacs)","Desenhos"
"Pantera Cor-De-Rosa","Desenhos"
"Papa-Léguas","Desenhos"
"Pateta (Disney)","Desenhos"
"Pato Donald (Disney)","Desenhos"
"Patolino","Desenhos"
"Patrick Star (SpongeBob SquarePants)","Desenhos"
"Pearl (Steven Universe)","Desenhos"
"Pequeno Príncipe","Desenhos"
"Pernalonga","Desenhos"
"Perry (Phineas e Ferb)","Desenhos"
"Peter Griffin (Family Guy)","Desenhos"
"Phineas (Phineas e Ferb)","Desenhos"
"Pikachu","Desenhos"
"Pinky (Pinky e o Cérebro)","Desenhos"
"Plankton (SpongeBob SquarePants)","Desenhos"
"Popeye","Desenhos"
"Princess Bonnibel Bubblegum (Adventure Time)","Desenhos"
"Professor Utonium (The Powerpuff Girls)","Desenhos"
"Pumba (Timão e Pumba)","Desenhos"
"Raphael (Teenage Mutant Ninja Turtles)","Desenhos"
"Regina Rocket (Rocket Power)","Desenhos"
"Rick Sanchez (Rick and Morty)","Desenhos"
"Ronald McDonald","Desenhos"
"Sailor Moon (Sailor Moon)","Desenhos"
"Sakura (Sakura Cardcaptors)","Desenhos"
"Sam (As Três Espiãs Demais!)","Desenhos"
"Scooby-Doo (Scooby-Doo)","Desenhos"
"Seiya de Pégaso (Os Cavaleiros do Zodíaco)","Desenhos"
"Shiryu de Dragão (Os Cavaleiros do Zodíaco)","Desenhos"
"SpongeBob SquarePants (SpongeBob SquarePants)","Desenhos"
